applicant_ethnicity_observed,state_code,denial_reason_1,conforming_loan_limit,loan_type,tract_population,total_points_and_fees,co_applicant_age_above_62,co_applicant_age,applicant_ethnicity_3,prepayment_penalty_term,property_value,income,aus_3,balloon_payment,initially_payable_to_institution,tract_minority_population_percent,co_applicant_race_2,interest_only_payment,county_code,reverse_mortgage,co_applicant_race_4,other_nonamortizing_features,derived_loan_product_type,co_applicant_sex,submission_of_application,total_units,derived_msa_md,origination_charges,co_applicant_race_1,open_end_line_of_credit,applicant_race_3,derived_ethnicity,intro_rate_period,hoepa_status,lien_status,tract_owner_occupied_units,action_taken,applicant_ethnicity_2,applicant_race_4,co_applicant_ethnicity_2,applicant_sex_observed,denial_reason_4,derived_race,co_applicant_race_observed,aus_4,applicant_ethnicity_5,debt_to_income_ratio,lei,applicant_race_1,loan_purpose,applicant_credit_score_type,applicant_race_2,co_applicant_ethnicity_1,manufactured_home_secured_property_type,activity_year,occupancy_type,lender_credits,tract_to_msa_income_percentage,applicant_age,co_applicant_race_5,co_applicant_ethnicity_4,co_applicant_ethnicity_5,tract_one_to_four_family_homes,discount_points,total_loan_costs,denial_reason_3,applicant_ethnicity_1,interest_rate,aus_2,business_or_commercial_purpose,co_applicant_sex_observed,derived_dwelling_category,aus_5,construction_method,denial_reason_2,negative_amortization,applicant_age_above_62,combined_loan_to_value_ratio,applicant_race_5,derived_sex,co_applicant_ethnicity_3,co_applicant_ethnicity_observed,tract_median_age_of_housing_units,purchaser_type,rate_spread,applicant_race_observed,loan_term,preapproval,co_applicant_credit_score_type,manufactured_home_land_property_interest,aus_1,loan_amount,census_tract,applicant_sex,multifamily_affordable_units,applicant_ethnicity_4,ffiec_msa_md_median_family_income,co_applicant_race_3
3,NV,10,C,1,4007,,,8888,,,295000,,,2,3,47.97,,2,32003.0,2,,2,Conventional:First Lien,4,3,1,29820,2150.0,7,2,,Ethnicity Not Available,,2,1,962,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,78.19,8888,,,,1408,,3332.0,,4.0,5.875,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,23,1,,3,360,2,9,5,6,145000,32003005607.0,4,,,83900,
3,WA,10,C,3,7437,,,8888,,,215000,,,2,3,49.4,,2,53077.0,2,,2,VA:First Lien,4,3,1,49420,6279.06,7,2,,Ethnicity Not Available,,2,1,1636,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,1,2023,1,,125.53,8888,,,,2720,4449.06,8255.49,,4.0,6.125,,2,3,Single Family (1-4 Units):Manufactured,,2,,2,,,,Sex Not Available,,3,45,2,,3,360,2,9,1,6,215000,53077001100.0,4,,,76600,
3,TX,10,C,2,10351,,,8888,,,205000,,,2,3,84.0,,2,48141.0,2,,2,FHA:First Lien,4,3,1,21340,7180.54,7,2,,Ethnicity Not Available,,2,1,1630,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,1409.0,102.33,8888,,,,2351,5307.16,13550.82,,4.0,5.625,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,10,2,,3,360,2,9,5,6,205000,48141010358.0,4,,,63100,
3,CO,10,C,3,6598,,,8888,,,385000,,,2,3,44.51,,2,8041.0,2,,2,VA:First Lien,4,3,1,17820,1250.0,7,2,,Ethnicity Not Available,,2,1,1479,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,113.0,8888,,,,1810,,12303.45,,4.0,5.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,16,2,,3,360,2,9,5,6,385000,8041004518.0,4,,,105000,
3,VA,10,C,4,7547,,,8888,,,235000,,,2,3,41.91,,2,51069.0,2,,2,FSA/RHS:First Lien,4,3,1,49020,5172.56,7,2,,Ethnicity Not Available,,2,1,1480,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,82.41,8888,,,,2094,3852.56,9762.93,,4.0,6.5,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,27,2,,3,360,2,9,5,6,235000,51069051102.0,4,,,99900,
3,MS,10,C,2,4229,,,8888,,,265000,,,2,3,43.63,,2,28049.0,2,,2,FHA:First Lien,4,3,1,27140,5585.3,7,2,,Ethnicity Not Available,,2,1,1070,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,42.0,154.94,8888,,,,1227,4840.3,12531.55,,4.0,5.25,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,18,2,,3,360,2,9,5,6,255000,28049010806.0,4,,,76800,
3,MD,10,C,3,7514,,,8888,,,505000,,,2,3,26.48,,2,24037.0,2,,2,VA:First Lien,4,3,1,15680,6140.0,7,2,,Ethnicity Not Available,,2,1,1863,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,110.5,8888,,,,2411,5050.0,9544.95,,4.0,5.625,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,14,2,,3,360,2,9,5,6,505000,24037875501.0,4,,,142600,
3,MT,10,C,2,4192,,,8888,,,315000,,,2,3,11.38,,2,30001.0,2,,2,FHA:First Lien,4,3,1,99999,3641.5,7,2,,Ethnicity Not Available,,2,1,999,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,88.23,8888,,,,1916,,11465.62,,4.0,5.875,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,55,2,,3,360,2,9,5,6,305000,30001000300.0,4,,,85100,
3,MD,10,C,3,6095,,,8888,,,755000,,,2,3,10.98,,2,24005.0,2,,2,VA:First Lien,4,3,1,12580,5780.37,7,2,,Ethnicity Not Available,,2,1,1974,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,146.25,8888,,,,2310,4581.37,5780.37,,4.0,6.375,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,39,2,,3,360,2,9,5,6,685000,24005410100.0,4,,,121700,
3,TX,10,C,1,7313,,,8888,,,295000,,,2,3,41.6,,2,48027.0,2,,2,Conventional:First Lien,4,3,1,28660,1435.5,7,2,,Ethnicity Not Available,,2,1,1405,6,,,,3,,Race Not Available,3,,,,549300JOT0D4J0SZIK67,7.0,1,9,,4,3,2023,1,,112.69,8888,,,,1845,312.5,3645.19,,4.0,6.375,,2,3,Single Family (1-4 Units):Site-Built,,1,,2,,,,Sex Not Available,,3,9,1,,3,360,2,9,5,6,125000,48027021305.0,4,,,76500,
