AGE_HEAD,AGE_WIFE,BEHIND_ON_MORTGAGE,BEST_INCOME,CC_ANNUAL_2018,CC_WEEKLY_2018,DEFAULT,DRMI,DRMI_COMMON,DRMI_COMMON_W,DRMI_W,DSV_ANNUAL,DSV_ANNUAL_W,DSV_COMMON,DSV_COMMON_W,DSV_FULL,DSV_FULL_W,DTI_PROXY,DTI_PROXY_V2,DTI_PROXY_W,EAD,FAMILY_ID,FAMILY_INCOME,FORECLOSURE,HAS_MORTGAGE,HEAD_EMPLOY_MENTION1,HEAD_EMPLOY_MENTION2,HEAD_EMPLOY_MENTION3,HOME_VALUE,HOME_VALUE_W,IS_HOMEMAKER,LOG_DRMI_COMMON,LOG_DSV_COMMON,LOG_HOME_VALUE,LOG_MORTGAGE_BALANCE,LOG_WIFE_WAGES_SALARY_RAW,LTV,LTV_W,MARITAL_STATUS,MONTHLY_INCOME,MORTGAGE_BALANCE,MORTGAGE_BALANCE_W,MORTGAGE_PAYMENT_MO,N_CHILDREN,OWN_RENT,RE_BUFFER,STATE,WIFE_EMPLOY_MENTION1,WIFE_EMPLOY_MENTION2,WIFE_EMPLOY_MENTION3,WIFE_HAS_WAGES,WIFE_HRS_ADULT_CARE,WIFE_HRS_ADULT_CARE_W,WIFE_HRS_CHILDCARE,WIFE_HRS_CHILDCARE_W,WIFE_HRS_HOUSEWORK,WIFE_HRS_HOUSEWORK_W,WIFE_WAGES_SALARY_RAW,WIFE_WAGES_SALARY_RAW_W,YEAR
51.0,52.0,5,56000.0,7022.08,135.04,0.0,1.5789027027027025,0.7024216216216216,0.7024216216216216,1.5789027027027025,11683.88,11683.88,5197.92,5197.92,11683.88,11683.88,,0.0705,,37000.0,177.0,0,0,1,1.0,0,0,80000.0,80000.0,0,0.5320517207551307,8.556206190690792,11.289794413577894,10.518700218288163,10.933124826700707,0.4625,0.4625,1,0.0,37000.0,37000.0,329,1,1,11683.88,34,1.0,0,0,1,0.0,0.0,3.0,3.0,3.0,3.0,56000.0,56000.0,2019
37.0,41.0,5,150000.0,7829.639999999999,150.57,0.0,1.2213179012345678,0.9368024691358025,0.9368024691358025,1.2213179012345678,79141.4,79141.4,60704.8,60704.8,79141.4,79141.4,,0.208,,324000.0,182.0,0,0,1,1.0,0,0,470000.0,470000.0,0,0.6610384014941635,11.013794524377362,13.060490101343552,12.688501881189456,11.918397239722838,0.6893617021276596,0.6893617021276596,1,0.0,324000.0,324000.0,2600,2,1,79141.4,31,1.0,0,0,1,0.0,0.0,58.0,58.0,14.0,14.0,150000.0,150000.0,2019
39.0,47.0,5,13500.0,6668.4800000000005,128.24,0.0,0.4880540084388185,0.2193215189873417,0.2193215189873417,0.4880540084388185,23133.76,23133.76,10395.84,10395.84,23133.76,23133.76,,1.4666666666666666,,237000.0,189.0,0,0,1,1.0,0,0,330000.0,330000.0,0,0.1982945720688302,9.249257192805022,12.706850963741102,12.37581963951765,9.510519035757246,0.7181818181818181,0.7181818181818181,1,0.0,237000.0,237000.0,1650,2,1,23133.76,10,1.0,0,0,1,0.0,0.0,6.0,6.0,6.0,6.0,13500.0,13500.0,2019
45.0,47.0,5,75000.0,9334.0,179.5,0.0,1.5580117647058824,0.8596211764705883,0.8596211764705883,1.5580117647058824,26486.2,26486.2,14613.56,14613.56,26486.2,26486.2,,0.144,,85000.0,190.0,0,0,1,1.0,0,0,175000.0,175000.0,0,0.6203727984176515,9.589773571036728,12.07254696717504,11.350418300109132,11.225256725762891,0.4857142857142857,0.4857142857142857,1,0.0,85000.0,85000.0,900,1,1,26486.2,21,1.0,0,0,1,0.0,0.0,10.0,10.0,7.0,7.0,75000.0,75000.0,2019
63.0,70.0,5,,15340.0,295.0,0.0,0.5816554545454545,0.2877254545454545,0.2877254545454545,0.5816554545454545,25592.84,25592.84,12659.92,12659.92,25592.84,25592.84,,,,220000.0,192.0,0,0,1,1.0,0,0,700000.0,700000.0,1,0.2528774485522971,9.446275362884068,13.45883704259595,12.301387370778713,0.0,0.3142857142857143,0.3142857142857143,1,0.0,220000.0,220000.0,3000,0,1,25592.84,19,6.0,0,0,5,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,2019
51.0,53.0,5,20000.0,6804.2,130.85,0.0,1.6781440000000003,0.8237493333333333,0.8237493333333333,1.6781440000000003,25172.160000000003,25172.160000000003,12356.24,12356.24,25172.160000000003,25172.160000000003,,0.5399999999999999,,75000.0,214.0,0,0,1,1.0,0,0,175000.0,175000.0,0,0.6008944553076132,9.421997405105436,12.07254696717504,11.225256725762891,9.90353755128617,0.4285714285714285,0.4285714285714285,1,0.0,75000.0,75000.0,900,3,1,25172.160000000003,48,1.0,0,0,1,0.0,0.0,4.0,4.0,10.0,10.0,20000.0,20000.0,2019
46.0,46.0,5,,12255.23,235.6775,0.0,0.4785300000000001,0.4289604347826087,0.4289604347826087,0.4785300000000001,44024.76000000001,44024.76000000001,39464.36,39464.36,44024.76000000001,44024.76000000001,,,,460000.0,218.0,0,0,1,1.0,0,0,970000.0,970000.0,0,0.3569472112184585,10.583178604107738,13.785052381406867,13.03898394237596,0.0,0.4742268041237113,0.4742268041237113,1,0.0,460000.0,460000.0,3750,1,1,44024.76000000001,4,1.0,0,0,5,0.0,0.0,40.0,40.0,7.0,7.0,0.0,0.0,2019
47.0,45.0,5,21746.0,9334.0,179.5,0.0,2.3428836363636365,1.5923818181818183,1.5923818181818183,2.3428836363636365,51543.44,51543.44,35032.4,35032.4,51543.44,51543.44,,0.5573438793341304,,110000.0,219.0,0,0,1,1.0,0,0,300000.0,300000.0,0,0.9525770740388128,10.464057171144692,12.611541086966117,11.60824473564232,9.987231095968989,0.3666666666666666,0.3666666666666666,1,0.0,110000.0,110000.0,1010,3,1,51543.44,21,1.0,0,0,1,0.0,0.0,15.0,15.0,25.0,25.0,21746.0,21746.0,2019
27.0,30.0,5,,,,0.0,0.6246548148148148,0.3349185185185185,0.3349185185185185,0.6246548148148148,33731.36,33731.36,18085.6,18085.6,33731.36,33731.36,,,,270000.0,220.0,0,0,1,1.0,0,0,285000.0,285000.0,0,0.2888702551719234,9.802926611581514,12.560247968016562,12.506180941677355,0.0,0.9473684210526316,0.9473684210526316,1,0.0,270000.0,270000.0,2100,0,1,33731.36,29,7.0,0,0,5,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,2019
33.0,31.0,5,40000.0,12255.23,235.6775,0.0,0.457015,0.22607,0.22607,0.457015,18280.6,18280.6,9042.8,9042.8,18280.6,18280.6,,0.3899999999999999,,200000.0,222.0,0,0,1,1.0,0,0,230000.0,230000.0,0,0.2038139321320517,9.10983471904454,12.345838935721968,12.206077645517674,10.59665973278358,0.8695652173913043,0.8695652173913043,1,0.0,200000.0,200000.0,1300,0,1,18280.6,4,2.0,1,0,1,0.0,0.0,0.0,0.0,10.0,10.0,40000.0,40000.0,2019
